"report-file-0"
"Iteration" "drag_NACA0012_AOA19_journal etc.."
("Iteration" "drag_NACA0012_AOA19_journal" "lift_NACA0012_AOA19_journal")
1 2.541734307845689 3.732277861656314
2 3.337469315408823 5.588901519635581
3 3.982020234250748 7.113106815871377
4 4.366327344903199 8.120853174340713
5 4.576062146361749 8.763026979254924
6 4.666950906163524 9.135525448527694
7 4.654692640088003 9.269486751910931
8 4.502509092896591 9.082994745617491
9 4.219070342468531 8.618572426306869
10 3.879395041774405 8.042877261393723
11 3.550708589821709 7.483279490052497
12 3.273371658737406 7.019641521997698
13 3.055921087866904 6.667676169415467
14 2.888714407788201 6.409229755821632
15 2.756177024494621 6.212494021652043
16 2.63896471118687 6.04120133113353
17 2.523934466340893 5.872565437540173
18 2.402677286645907 5.689097856126069
19 2.270496033247715 5.478365923715462
20 2.127897602740021 5.23709208684685
21 1.975801652847927 4.967243359223098
22 1.819897887755829 4.681134416363483
23 1.665013078549875 4.389013902892693
24 1.514183248463362 4.096692000645771
25 1.369496981413171 3.809163145558639
26 1.230805600965271 3.526293917763813
27 1.099210527559899 3.250512550604636
28 0.9750734290876386 2.983064303322464
29 0.8582509873577032 2.724416355716103
30 0.7485667678502151 2.474771626291521
31 0.6459614689762024 2.234657058029542
32 0.5503387862732366 2.005243405919934
33 0.4615545838893218 1.786900909262316
34 0.3791452962726916 1.579145315721005
35 0.3024398812995852 1.380965344847208
36 0.2318059870846397 1.194028818494733
37 0.1668869159899159 1.018162476930502
38 0.1075493486615658 0.8534795985949587
39 0.0534838446791475 0.6995070999057225
40 0.004557146233687385 0.5563278281586905
41 -0.03956738807717236 0.4235029720030477
42 -0.07892387311626591 0.3010541493875381
43 -0.1142519629191503 0.1875910770403027
44 -0.1453996292725633 0.0834923003975012
45 -0.1727877064706356 -0.01208233688145921
46 -0.1967679043511084 -0.09987513332941486
47 -0.2175801884795267 -0.1801528442301004
48 -0.2357956319524456 -0.2544359787774361
49 -0.2515368553016692 -0.3228853249823422
50 -0.2650727838638797 -0.3860731548257151
51 -0.2766990596439047 -0.4445386665139522
52 -0.2865151931470138 -0.4985479736648334
53 -0.2947760394280459 -0.5485974692979294
54 -0.3020423701273794 -0.5961916574895105
55 -0.307572862741927 -0.6388476082817971
56 -0.3123672785485079 -0.6798156977309501
57 -0.3160189607825554 -0.7174583437027876
58 -0.3185766360970685 -0.7517877691040399
59 -0.3201121630745646 -0.7828952757383996
60 -0.3206008975232021 -0.8105591036096624
61 -0.3201581232154386 -0.8348879816784841
62 -0.3186902076526655 -0.8555532704300499
63 -0.3161108579280555 -0.8722205546199312
64 -0.3125252686647698 -0.8849849818628688
65 -0.3078934279198224 -0.8936620037174941
66 -0.3022055330678188 -0.8980447633060699
67 -0.2954317157877502 -0.8979471540236016
68 -0.2875162905527456 -0.893104013669451
69 -0.2785081820141079 -0.8835530771722728
70 -0.2684439696453784 -0.8693679052102197
71 -0.2572612142164282 -0.8503216219691104
72 -0.2449508203871607 -0.8262837463731569
73 -0.2315287825114376 -0.7972615977546006
74 -0.2170259754658427 -0.7632778411028119
75 -0.2014654170813231 -0.7243928081406079
76 -0.1848643933837646 -0.6806301962663955
77 -0.1672609981053445 -0.6321029935415876
78 -0.1486291436361767 -0.5786607396543959
79 -0.1291132613502296 -0.5207945125998887
80 -0.1087589817762837 -0.4586850896405813
81 -0.0876429403891425 -0.3925757206016957
82 -0.06587281649674417 -0.3227414517054194
83 -0.04356536399658306 -0.2495818674351405
84 -0.0208122767220379 -0.1734064445605981
85 0.002290518822956985 -0.09454806641512266
86 0.02562237769556377 -0.01340254104140508
87 0.0490673777473593 0.06963185644482613
88 0.07251405030098922 0.154162443583647
89 0.09584983904830606 0.2397778550565037
90 0.1189670981051439 0.3260651126765678
