"report-file-0"
"Iteration" "drag_NACA4412_AOA21.5_journal etc.."
("Iteration" "drag_NACA4412_AOA21.5_journal" "lift_NACA4412_AOA21.5_journal")
1 2.856627561578357 3.965024195076323
2 3.950101558802508 6.119466865192092
3 4.708434682053163 7.709445082328367
4 5.076494100723109 8.630346202772083
5 5.149647616610007 9.02232320433405
6 4.991381424464162 8.986042429005103
7 4.588502450601578 8.494801088887774
8 4.062573260779251 7.755551150133676
9 3.523924824418373 6.974915721230779
10 3.018827970116437 6.217552075080006
11 2.715749809389145 5.797984628377342
12 2.415245735919078 5.356698185747264
13 2.042685024321485 4.75097465263729
14 1.726717368205579 4.22196080235769
15 1.435491554524989 3.713974594532229
16 1.159346177792602 3.205895278501365
17 0.9075704239199404 2.719253731706502
18 0.6816557332594067 2.261283407531088
19 0.4838823010641283 1.842832197632617
20 0.3101830417174675 1.460792823566913
21 0.1535796736085507 1.105572685103986
22 0.01894581152831621 0.7879445061136128
23 -0.09578499792351536 0.5063672612093942
24 -0.191496619146411 0.2604788058297936
25 -0.2704139247575271 0.04697057768963547
26 -0.3331375932619585 -0.1348335938458888
27 -0.3833353847905281 -0.2903251108542584
28 -0.4202697268934118 -0.4181870349380667
29 -0.4450414978657371 -0.5200345628713957
30 -0.4584973413019472 -0.5971107308289767
31 -0.4625361128291455 -0.6522293045365576
32 -0.4578966323079183 -0.6863671488955871
33 -0.4461976092951631 -0.7020748499645723
34 -0.4278377956317631 -0.699835286553591
35 -0.4039859557243364 -0.6812478544500809
36 -0.3740524232453269 -0.645049364838066
37 -0.3384086428597825 -0.5916931559265106
38 -0.2976530276320981 -0.5220969494817175
39 -0.2524408206664492 -0.4373091092467809
40 -0.2034988547355971 -0.3386685372806092
41 -0.1514898927453103 -0.2275074121735727
42 -0.09715716427156507 -0.1054446966574124
43 -0.0390626198981411 0.02998522172208883
44 0.01973553044726436 0.1725996546006253
45 0.07784463298865571 0.3192701466133674
46 0.1360036853991263 0.4707513945565848
47 0.1928641491485196 0.623890928303379
48 0.2475208122096516 0.7762071892136621
49 0.299941007484814 0.9269077882065339
50 0.349013165454448 1.072896480232926
51 0.3948128194210013 1.213380568024778
52 0.4368836094484054 1.34660320847481
53 0.4748034970438391 1.470823045753684
54 0.5083224492328968 1.584866619026024
55 0.5371910920532004 1.687471958098775
56 0.5612236973486683 1.777590517068159
57 0.5802752662322147 1.854347837143679
58 0.5943339574914025 1.917223977458026
59 0.6034179294275256 1.965874916982523
60 0.6076174660741044 2.000234573830365
61 0.6070799308525678 2.020451556786797
62 0.6020279204241207 2.026931797206571
63 0.5927272546410074 2.020289718785259
64 0.5795074162762232 2.001297041395039
65 0.5626512727358293 1.970840869912471
66 0.5425612766340539 1.930091859665265
67 0.5197762927771699 1.880513185567847
68 0.4945856935583752 1.823059800666948
69 0.4722471775108454 1.770063558454801
70 0.442521858233988 1.698752625345223
71 0.4177470629018675 1.637120891874265
72 0.3919678699024792 1.572050956946766
73 0.3655659314520597 1.505035555890721
74 0.3388061916937858 1.436767360753242
75 0.3119110542048848 1.368055662043383
76 0.2854268971219895 1.30036735736509
77 0.2596955259918497 1.234683102767685
78 0.2350826752277245 1.17197791058837
79 0.2123446712387101 1.113874982877544
80 0.1912603285134641 1.060235189941908
81 0.1721080574645688 1.011736880417675
82 0.1550110872776477 0.9687317228379107
83 0.1403394016381589 0.9319623824190566
84 0.1282343151690489 0.9017281388996936
85 0.1186204440896533 0.8779104266499224
86 0.1119172499124812 0.8612157145381345
87 0.1078205121529311 0.8510576293864685
88 0.1064413264712325 0.8475740881634865
89 0.1082772359796361 0.8520549796952324
90 0.1118549564835531 0.8606175025653797
91 0.1177782649491052 0.8749202543627406
92 0.1258706444469609 0.894505071460176
93 0.1387422940012709 0.9248934795243258
94 0.1499930371532114 0.9524016957768128
95 0.1627034822641298 0.9835976712992888
96 0.1766044089275134 1.017855092968556
97 0.1915436492541429 1.054724784978969
98 0.2109378885004126 1.101650438072203
99 0.2262434819361611 1.140217757534563
100 0.2418146122299213 1.179747775400046
101 0.2573773559823454 1.219600865756109
102 0.2727092569125239 1.259255870664957
103 0.2908979864804591 1.305613839881194
104 0.3048201289407711 1.342580969767336
105 0.3180726709619249 1.378283035827322
106 0.3329306408877086 1.418018569340341
107 0.3440656563619253 1.449216180053546
108 0.3559765927834714 1.482644199181801
109 0.3647912904676113 1.508708275331435
110 0.3735985865685576 1.535271674202617
111 0.3798498555357944 1.555526599300609
112 0.3848611715393749 1.572967159296286
113 0.388631248512059 1.587525940009922
114 0.3911959511220316 1.599221773952826
115 0.392578794986261 1.608061968103463
116 0.3927419430089435 1.613926410876091
117 0.3918149378515852 1.617063652531647
