"report-file-0"
"Iteration" "drag_NACA4412_AOA-7_journal etc.."
("Iteration" "drag_NACA4412_AOA-7_journal" "lift_NACA4412_AOA-7_journal")
1 1.468991352099072 -1.353197079292347
2 1.746659501603765 -2.080048648067657
3 1.909588071152857 -2.580527469793006
4 1.929518373205035 -2.83721183538377
5 1.857391761350865 -2.91560287490927
6 1.712783096999308 -2.842039175783635
7 1.504847163658368 -2.642978358126372
8 1.242836084224478 -2.332820111679412
9 1.033838446375451 -2.088018917867979
10 0.8229991314354589 -1.82100694561248
11 0.6274735512129327 -1.548387291220628
12 0.4543451196154517 -1.283671832251714
13 0.3107760211577744 -1.045735007542839
14 0.1972305880189657 -0.8247742597704492
15 0.1199395254533439 -0.6580272547686208
16 0.06711962974688476 -0.5151370922761009
17 0.03251272866930623 -0.3860962271458409
18 0.009931152530314097 -0.2704731181155253
19 -0.00495911660185773 -0.1652095329349681
20 -0.01143982903492599 -0.06859131889626517
21 -0.01800817112751306 0.02279509809731344
22 -0.02511759397913543 0.1058815122515029
23 -0.02750109301353883 0.1814337096296858
24 -0.02992072294880436 0.2466207242016798
25 -0.03003965941463775 0.3017125086125945
26 -0.02826697692698425 0.3476882321590593
27 -0.02489330626622406 0.3853275336359897
28 -0.02019486565470643 0.4166901468244498
29 -0.01441914197575078 0.4383345085255854
30 -0.007874614700787434 0.4519015297176659
31 -0.0008800520897277628 0.4583810145267016
32 0.006260566008426245 0.457834500333996
33 0.01327533855758921 0.4506893974563623
34 0.01992606044987526 0.4374879689186197
35 0.02602874513643365 0.4186730533481824
36 0.03146095675139269 0.3936279079460732
37 0.03616049252133678 0.3644703685085189
38 0.04010655396424661 0.3316873765027815
39 0.04333647016391955 0.2959859259539747
40 0.04589868263059151 0.2574892672574338
41 0.04788746943633068 0.2166613524213187
42 0.04941508144459797 0.1739431381947458
43 0.05060140335375085 0.1297915017199469
44 0.05156007788109072 0.08468556731451786
45 0.05239429888481606 0.03844479536503139
46 0.05321315705656488 -0.007567115718979925
47 0.05409741649095325 -0.05226743182432463
48 0.05507981747682758 -0.09614934606804323
49 0.05619486835391768 -0.1387153600048815
50 0.05745163785927505 -0.179485764798424
51 0.05884153798653795 -0.2180303755699827
52 0.06033355757612651 -0.2539298594815074
53 0.06188579126668058 -0.2868193169562539
54 0.06343422140445265 -0.3164943774357839
55 0.06493949081658822 -0.3424705973153489
56 0.06633378086145925 -0.3646506397892794
57 0.06755482170946794 -0.3827821843025025
58 0.06854580843852816 -0.3967966765025368
59 0.06924552249888244 -0.4066807139325158
60 0.06960889766798946 -0.4125028832689346
61 0.06960340368538888 -0.4143556411374759
62 0.06920732148572965 -0.4123890946087054
63 0.0684106413879102 -0.4068113733352867
64 0.06721554557423597 -0.3978800440063607
