"report-file-0"
"Iteration" "drag_NACA4412_AOA-15.5_journal etc.."
("Iteration" "drag_NACA4412_AOA-15.5_journal" "lift_NACA4412_AOA-15.5_journal")
1 2.126678736378824 -2.998730253585433
2 2.727610920136643 -4.486698465975294
3 3.168337775342416 -5.614853412589796
4 3.356975557866423 -6.247226966447939
5 3.362941739807634 -6.48802807140013
6 3.223864483107032 -6.402057836833077
7 2.944082657598469 -6.019679499754211
8 2.571027724077623 -5.455872849935433
9 2.175723503881405 -4.837577889421337
10 1.91607679805078 -4.45618331615717
11 1.526139721428808 -3.808734274497978
12 1.221086817436765 -3.267634454641608
13 1.036325312513009 -2.946249345275972
14 0.8205227184116817 -2.507286726660775
15 0.6382636554633282 -2.105807863142738
16 0.4800352375437949 -1.725396804349682
17 0.3472737201499127 -1.373188256524618
18 0.2375843183902539 -1.050790690637523
19 0.1467625094089688 -0.7583364556956808
20 0.07085247252536568 -0.4958619411262618
21 0.007797405070284611 -0.2618268428774903
22 -0.04379008057187342 -0.05592335008573465
23 -0.085287418779375 0.1225312305452305
24 -0.1181617327491251 0.2766791028037722
25 -0.1433506311124969 0.4075685304322764
26 -0.1618563687885421 0.5171924766835108
27 -0.1745727017850537 0.6063839862105179
28 -0.1821441917221615 0.6767258721347107
29 -0.1852840367133277 0.729520302012642
30 -0.1846219560323291 0.7661744258918473
31 -0.180671633617739 0.7877515808713096
32 -0.1739285178185264 0.7955100918228446
33 -0.164738384900876 0.7903566213650428
34 -0.1533477257293414 0.7729906191061337
35 -0.1398399850970412 0.7438868347825975
36 -0.1244509078821332 0.7038033012725747
37 -0.1077323106427938 0.6545108616752315
38 -0.08966204751081459 0.5961483937848495
39 -0.07032384418475701 0.5292529053702362
40 -0.04996841970221346 0.4547600630181646
41 -0.03124931216509489 0.3849911815691247
42 -0.01181009319799114 0.3078606743246004
43 0.00817087056290799 0.2245951917048297
44 0.02855418344265076 0.1362288178071713
45 0.04927135090038432 0.04325990811480832
46 0.07019100861747389 -0.05283080261693818
47 0.09106956677049199 -0.1503451863417786
48 0.1118725310759891 -0.2488498617294778
49 0.1324342197538082 -0.3472066775300745
50 0.1525499299394532 -0.4444112705969447
51 0.1720126832863778 -0.5392940143686009
52 0.1906113848051548 -0.6307200049132604
53 0.2082150803879747 -0.7178076169314176
54 0.2245115656268074 -0.7992687965153577
55 0.2393112223559556 -0.8742422697409608
56 0.2523737882255247 -0.9416169307561451
57 0.2636018064454996 -1.000938034890907
58 0.27287463187364 -1.051692249712144
59 0.2801180085390247 -1.093559164437926
60 0.2853014830027038 -1.126352600250785
61 0.2882590476255507 -1.149618824657949
62 0.2889929421157055 -1.163393163822474
